Relative_Alt_m,Pressure_Pa
-0.004,101325.05
-0.004,101325.05
-0.003,101325.04
-0.004,101325.05
-0.007,101325.08
-0.01,101325.12
-0.009,101325.11
-0.007,101325.08
-0.006,101325.07
-0.004,101325.05
-0.003,101325.04
-0.001,101325.01
-0.003,101325.04
-0.005,101325.06
0.0,101325.0
0.001,101324.99
-0.003,101325.04
-0.007,101325.08
-0.011,101325.13
-0.025,101325.3
-0.032,101325.38
-0.049,101325.59
-0.057,101325.68
-0.054,101325.65
-0.048,101325.58
-0.043,101325.52
-0.041,101325.49
-0.041,101325.49
-0.041,101325.49
-0.042,101325.5
-0.043,101325.52
-0.043,101325.52
-0.043,101325.52
-0.043,101325.52
-0.048,101325.58
-0.051,101325.61
-0.129,101326.55
-0.24,101327.88
-0.548,101331.58
-0.751,101334.02
-0.825,101334.91
-0.838,101335.07
-0.824,101334.9
-0.806,101334.68
-0.793,101334.53
-0.787,101334.45
-0.609,101332.32
-0.2,101327.4
-0.025,101325.3
-0.035,101325.42
-0.116,101326.39
-0.202,101327.43
-0.261,101328.14
-0.291,101328.5
-0.302,101328.63
-0.3,101328.6
-0.291,101328.5
-0.284,101328.41
-0.318,101328.82
-0.599,101332.2
-0.871,101335.46
-0.984,101336.82
-0.839,101335.08
-0.366,101329.4
-0.105,101326.26
-0.051,101325.61
-0.1,101326.2
-0.175,101327.1
-0.238,101327.86
-0.277,101328.33
-0.294,101328.53
-0.298,101328.58
-0.293,101328.52
-0.286,101328.44
-0.28,101328.36
-0.277,101328.33
-0.275,101328.3
-0.274,101328.29
-0.272,101328.27
-0.272,101328.27
-0.188,101327.26
-0.187,101327.25
-0.186,101327.23
-0.18,101327.16
-0.189,101327.27
-0.188,101327.26
-0.189,101327.27
-0.255,101328.06
-0.193,101327.32
-0.854,101335.26
-0.362,101329.35
-0.442,101330.31
-0.865,101335.39
-0.989,101336.88
-0.816,101334.8
-1.185,101339.24
-1.363,101341.38
-1.462,101342.56
-1.712,101345.57
-2.075,101349.93
-2.203,101351.47
-2.396,101353.79
-0.171,101327.05
-0.196,101327.35
-0.188,101327.26
-0.203,101327.44
-0.189,101327.27
-0.246,101327.96
-0.936,101336.24
-1.276,101340.33
-1.337,101341.06
-1.434,101342.23
-1.611,101344.35
-1.792,101346.53
-1.816,101346.82
-1.828,101346.96
-0.193,101327.32
-0.193,101327.32
-0.194,101327.33
-0.305,101328.66
-0.302,101328.63
-0.301,101328.62
-0.305,101328.66
-0.304,101328.65
-0.302,101328.63
-0.299,101328.59
-0.304,101328.65
-0.305,101328.66
-0.302,101328.63
-2.866,101359.43
0.254,101321.95
-1.211,101339.55
-0.55,101331.61
-1.886,101347.66
-0.359,101329.31
-2.173,101351.11
-0.55,101331.61
-0.384,101329.61
-1.175,101339.12
