alt,current time,x,y,z,channel_4
-6.0,2025-03-09 15:12:48,0,0,0,
-7.0,2025-03-09 15:12:49,0,0,0,
-5.0,2025-03-09 15:12:50,0,0,0,
-8.0,2025-03-09 15:12:51,0,0,0,
-10.0,2025-03-09 15:12:52,0,0,0,
-11.0,2025-03-09 15:12:53,0,0,0,
-11.0,2025-03-09 15:12:54,0,0,0,
-8.0,2025-03-09 15:12:55,0,0,0,
-8.0,2025-03-09 15:12:56,0,0,0,
-11.0,2025-03-09 15:12:57,0,0,0,
-23.0,2025-03-09 15:12:58,0,0,0,
-33.0,2025-03-09 15:12:59,0,0,0,
-43.0,2025-03-09 15:13:00,0,0,0,
-58.0,2025-03-09 15:13:01,0,0,0,
-76.0,2025-03-09 15:13:02,0,0,0,
-97.0,2025-03-09 15:13:03,0,0,0,
-120.0,2025-03-09 15:13:04,0,0,0,
-145.0,2025-03-09 15:13:05,0,0,0,
-10.0,2025-03-09 15:13:06,0,0,0,
-7.0,2025-03-09 15:13:07,0,0,0,
-7.0,2025-03-09 15:13:08,0,0,0,
-6.0,2025-03-09 15:13:09,0,0,0,
-11.0,2025-03-09 15:13:10,0,0,0,
-8.0,2025-03-09 15:13:11,0,0,0,
-59.0,2025-03-09 15:13:12,0,0,0,
-38.0,2025-03-09 15:13:13,0,0,0,
27.0,2025-03-09 15:13:14,0,0,0,
25.0,2025-03-09 15:13:15,0,0,0,
12.0,2025-03-09 15:13:16,0,0,0,
2.0,2025-03-09 15:13:17,0,0,0,
-2.0,2025-03-09 15:13:18,0,0,0,
-7.0,2025-03-09 15:13:19,0,0,0,
-7.0,2025-03-09 15:13:20,0,0,0,
-8.0,2025-03-09 15:13:21,0,0,0,
-7.0,2025-03-09 15:13:22,0,0,0,
-5.0,2025-03-09 15:13:23,0,0,0,
-2.0,2025-03-09 15:13:24,0,0,0,
-5.0,2025-03-09 15:13:25,0,0,0,
-7.0,2025-03-09 15:13:26,0,0,0,
-7.0,2025-03-09 15:13:27,0,0,0,
-7.0,2025-03-09 15:13:28,0,0,0,
-4.0,2025-03-09 15:13:29,0,0,0,
-4.0,2025-03-09 15:13:30,0,0,0,
-8.0,2025-03-09 15:13:31,0,0,0,
-6.0,2025-03-09 15:13:32,0,0,0,
0.0,2025-03-09 15:13:33,0,0,0,
-1.0,2025-03-09 15:13:34,0,0,0,
-5.0,2025-03-09 15:13:35,0,0,0,
-11.0,2025-03-09 15:13:36,0,0,0,
-7.0,2025-03-09 15:13:37,0,0,0,
-5.0,2025-03-09 15:13:38,0,0,0,
-5.0,2025-03-09 15:13:39,0,0,0,
-4.0,2025-03-09 15:13:40,0,0,0,
-5.0,2025-03-09 15:13:41,0,0,0,
-5.0,2025-03-09 15:13:42,0,0,0,
-8.0,2025-03-09 15:13:43,0,0,0,
-6.0,2025-03-09 15:13:44,0,0,0,
-7.0,2025-03-09 15:13:45,0,0,0,
-5.0,2025-03-09 15:13:46,0,0,0,
-4.0,2025-03-09 15:13:47,0,0,0,
-4.0,2025-03-09 15:13:48,0,0,0,
-7.0,2025-03-09 15:13:49,0,0,0,
-7.0,2025-03-09 15:13:50,0,0,0,
-6.0,2025-03-09 15:13:51,0,0,0,
-6.0,2025-03-09 15:13:52,0,0,0,
-5.0,2025-03-09 15:13:53,0,0,0,
-8.0,2025-03-09 15:13:54,0,0,0,
-10.0,2025-03-09 15:13:55,0,0,0,
-7.0,2025-03-09 15:13:56,0,0,0,
-4.0,2025-03-09 15:13:57,0,0,0,
-6.0,2025-03-09 15:13:58,0,0,0,
-5.0,2025-03-09 15:13:59,0,0,0,
-6.0,2025-03-09 15:14:00,0,0,0,
-5.0,2025-03-09 15:14:01,0,0,0,
